employee_id,age,years_experience,education_level,department,company_size,region,gender,ethnicity,marital_status,remote_status,training_hours,certifications_count,job_level,performance_rating,manager_feedback_score,work_life_balance_score,salary_satisfaction,annual_income_usd,bonus_percent,commute_time_minutes,overtime_hours_monthly,job_satisfaction_score,promoted_next_year,left_company
1,59,18,bachelor,HR,small,south,female,hispanic,married,on-site,15.0,1,senior,4.7,1.9,8.4,9.7,58066.0,1.7,33.0,9,6.5,no,no
2,49,10,bachelor,IT,medium,north,female,other,married,on-site,13.0,2,mid,2.7,8.8,6.2,9.4,91402.0,13.5,30.0,5,6.6,no,no
3,35,0,bachelor,Finance,small,north,female,black,married,on-site,18.0,1,mid,4.1,3.7,5.2,5.3,89372.0,11.6,40.0,5,5.4,no,no
4,63,23,bachelor,HR,medium,west,male,other,married,hybrid,30.0,0,entry,2.9,7.3,6.8,7.8,54380.0,5.8,48.0,2,4.2,no,no
5,28,6,bachelor,Finance,small,west,female,white,single,on-site,26.0,1,mid,2.1,8.4,5.2,7.0,70198.0,15.6,37.0,6,2.5,no,yes
6,41,24,high school,HR,small,west,female,black,divorced,remote,4.0,1,entry,3.7,9.1,6.8,8.3,47324.0,15.5,35.0,2,6.1,no,no
7,59,20,high school,Operations,medium,east,female,asian,divorced,remote,16.0,2,executive,4.5,2.0,3.8,8.1,57468.0,9.8,28.0,6,4.2,no,yes
8,39,14,high school,Operations,medium,south,male,other,married,remote,14.0,1,mid,3.2,9.0,8.5,2.4,58205.0,1.9,32.0,6,7.4,no,no
9,43,0,high school,IT,medium,west,male,white,divorced,hybrid,4.0,1,executive,3.9,2.8,7.3,3.1,55955.0,18.4,26.0,3,3.8,no,yes
10,31,11,bachelor,IT,large,south,male,hispanic,divorced,on-site,23.0,1,mid,4.7,7.6,4.0,3.4,77324.0,13.4,24.0,9,2.4,yes,yes
11,31,6,bachelor,Finance,large,north,male,hispanic,divorced,remote,19.0,2,entry,4.4,7.6,8.5,8.4,96983.0,4.9,28.0,3,9.1,yes,no
12,44,14,high school,HR,large,south,female,other,married,remote,40.0,2,mid,2.6,1.1,5.4,8.3,68795.0,12.2,48.0,6,2.9,no,yes
13,56,20,PhD,Sales,medium,east,male,hispanic,married,remote,17.0,1,entry,4.2,3.0,2.6,5.5,48901.0,8.1,29.0,5,3.6,no,yes
14,60,18,high school,IT,large,east,male,asian,single,on-site,12.0,1,senior,3.5,5.4,1.7,6.2,74162.0,12.7,46.0,2,4.4,no,yes
15,44,28,master,Sales,small,south,female,black,married,remote,11.0,2,senior,4.2,4.8,7.3,8.4,74189.0,9.5,20.0,6,5.4,no,no
16,23,24,bachelor,Sales,small,east,female,white,single,on-site,15.0,2,senior,3.5,9.3,8.8,3.8,66225.0,9.7,31.0,6,2.3,no,yes
17,42,32,bachelor,HR,medium,east,male,other,married,on-site,26.0,0,mid,2.4,4.2,8.3,1.5,107182.0,14.7,37.0,4,2.7,no,yes
18,22,31,high school,Finance,large,north,female,hispanic,divorced,on-site,27.0,0,mid,3.7,9.4,6.9,5.3,74883.0,12.3,38.0,8,6.9,no,no
19,44,34,bachelor,HR,small,west,male,black,single,hybrid,49.0,1,executive,3.5,5.1,2.3,9.2,81476.0,1.6,19.0,2,7.2,no,yes
20,64,37,bachelor,IT,small,east,male,asian,single,hybrid,8.0,1,entry,3.6,9.7,1.8,8.1,30000.0,1.3,18.0,6,6.4,no,yes
21,50,25,PhD,Sales,small,west,male,hispanic,single,on-site,21.0,1,senior,4.6,7.6,4.1,4.3,50742.0,6.1,36.0,7,5.3,yes,no
22,58,10,bachelor,HR,large,south,female,hispanic,married,on-site,13.0,3,mid,4.7,8.5,8.7,1.6,80278.0,8.6,24.0,4,1.5,yes,yes
23,22,34,PhD,HR,medium,south,female,white,single,hybrid,24.0,0,executive,3.4,1.9,9.7,6.7,75676.0,5.5,36.0,4,6.9,no,no
24,41,7,high school,HR,small,east,male,asian,married,hybrid,34.0,0,senior,3.4,6.3,3.2,8.5,62430.0,13.0,44.0,7,6.4,no,yes
